system_id,inflow_record_count,mapped_node_count,total_q_cfs
1,1,94,0.0
2,5,120,8.587360863186078
3,0,1,0.0
4,0,1,0.0
5,1,41,0.4449125273349908
6,3,42,153.25633641991283
7,0,1,0.0
8,0,1,0.0
9,0,1,0.0
