pdf_file,page,text,x0,y0,x1,y1
BX-FM_10-30-2025-Model.pdf,1,NEES,147.59945678710938,150.74778747558594,155.54837036132812,172.32933044433594
BX-FM_10-30-2025-Model.pdf,1,TEMPERANCE,43.07710647583008,232.77166748046875,98.10797119140625,240.7831573486328
BX-FM_10-30-2025-Model.pdf,1,LOCAN,52.468135833740234,411.0316162109375,79.76758575439453,418.9822082519531
BX-FM_10-30-2025-Model.pdf,1,DEWOLF,168.29847717285156,591.421630859375,202.19537353515625,599.3727416992188
BX-FM_10-30-2025-Model.pdf,1,TEAGUE,327.41717529296875,54.62677764892578,335.39837646484375,87.21640014648438
BX-FM_10-30-2025-Model.pdf,1,SHEPHERD,501.6873474121094,529.5276489257812,509.6683654785156,573.552490234375
BX-FM_10-30-2025-Model.pdf,1,ERRIN,682.07763671875,18.72229766845703,690.0232543945312,43.37520980834961
BX-FM_10-30-2025-Model.pdf,1,HARLAN,380.8040771484375,807.1531982421875,404.9839172363281,838.3983154296875
BX-FM_10-30-2025-Model.pdf,1,RANCH,405.561279296875,845.1439208984375,427.57421875,873.0638427734375
BX-FM_10-30-2025-Model.pdf,1,D,506.9073486328125,19.542667388916016,514.8369750976562,25.272932052612305
BX-FM_10-30-2025-Model.pdf,1,LOCAN,451.318115234375,415.02166748046875,478.6175537109375,422.9721984863281
BX-FM_10-30-2025-Model.pdf,1,DEWOLF,454.1969299316406,589.3516235351562,488.10076904296875,597.3322143554688
BX-FM_10-30-2025-Model.pdf,1,TEMPERANCE,244.67710876464844,224.461669921875,299.7080078125,232.47315979003906
BX-FM_10-30-2025-Model.pdf,1,ENTERPRISE,242.47869873046875,90.21344757080078,291.87872314453125,118.25379943847656
BX-FM_10-30-2025-Model.pdf,1,CANAL,61.940956115722656,270.98919677734375,86.59642791748047,294.8675842285156
BX-FM_10-30-2025-Model.pdf,1,BASIN,270.6108093261719,157.01661682128906,278.578369140625,180.80580139160156
BX-FM_10-30-2025-Model.pdf,1,"""BX""",270.5671081542969,187.39747619628906,278.5201110839844,203.605224609375
BX-FM_10-30-2025-Model.pdf,1,DRY,574.3651733398438,79.36664581298828,592.5689086914062,95.55767059326172
BX-FM_10-30-2025-Model.pdf,1,CREEK,593.3125,92.97882843017578,620.0987548828125,115.33574676513672
BX-FM_10-30-2025-Model.pdf,1,CHANNEL,635.1509399414062,123.03656768798828,670.5133666992188,151.5547332763672
BX-FM_10-30-2025-Model.pdf,1,FWY,127.97310638427734,601.0643310546875,144.6156463623047,620.0060424804688
BX-FM_10-30-2025-Model.pdf,1,168,312.6379699707031,861.567138671875,326.7424621582031,876.928466796875
BX-FM_10-30-2025-Model.pdf,1,LU,709.4463500976562,542.0700073242188,715.3533325195312,549.9439697265625
BX-FM_10-30-2025-Model.pdf,1,TEXT,709.4463500976562,551.4207153320312,715.3533325195312,566.512939453125
BX-FM_10-30-2025-Model2.pdf,1,SHEP,194.98570251464844,1175.5750732421875,212.53126525878906,1223.2115478515625
BX-FM_10-30-2025-Model2.pdf,1,PERRIN,577.7266235351562,142.79481506347656,595.30126953125,208.88067626953125
BX-FM_10-30-2025-Model2.pdf,1,EPHERD,206.41378784179688,-10.33668041229248,223.9909210205078,62.54962158203125
BX-FM_10-30-2025-Model2.pdf,1,LOCAN,83.69400787353516,922.8187255859375,143.9602508544922,940.3969116210938
BX-FM_10-30-2025-Model2.pdf,1,DRY,355.2867431640625,181.93600463867188,395.4700622558594,217.66888427734375
BX-FM_10-30-2025-Model2.pdf,1,CREEK,397.1178894042969,211.97018432617188,456.2494812011719,261.3077392578125
BX-FM_10-30-2025-Model2.pdf,1,CHANNEL,489.4873046875,278.2905578613281,567.5529174804688,341.2225646972656
BX-FM_10-30-2025-Model2.pdf,1,LU,653.481689453125,1203.300048828125,666.5202026367188,1220.6802978515625
