pdf_file,page,annot_type,rect_x0,rect_y0,rect_x1,rect_y1,contents,info_title,info_subject,info_content
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",350.0,558.0,361.0,572.0,,AutoCAD SHX Text,,55
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",337.0,616.0,348.0,630.0,,AutoCAD SHX Text,,54
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",260.0,579.0,271.0,593.0,,AutoCAD SHX Text,,63
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",210.0,607.0,221.0,622.0,,AutoCAD SHX Text,,65
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",253.0,494.0,264.0,508.0,,AutoCAD SHX Text,,68
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",218.0,478.0,229.0,492.0,,AutoCAD SHX Text,,69
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",520.0,521.0,531.0,535.0,,AutoCAD SHX Text,,84
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",480.0,519.0,491.0,533.0,,AutoCAD SHX Text,,85
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",544.0,435.0,555.0,449.0,,AutoCAD SHX Text,,86
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",479.0,436.0,490.0,450.0,,AutoCAD SHX Text,,87
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",431.0,628.0,442.0,642.0,,AutoCAD SHX Text,,78
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",394.0,606.0,405.0,619.0,,AutoCAD SHX Text,,79
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",431.0,586.0,442.0,600.0,,AutoCAD SHX Text,,80
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",431.0,552.0,442.0,564.0,,AutoCAD SHX Text,,81
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",432.0,521.0,443.0,536.0,,AutoCAD SHX Text,,82
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",432.0,490.0,443.0,504.0,,AutoCAD SHX Text,,83
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",354.0,519.0,365.0,531.0,,AutoCAD SHX Text,,91
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",305.0,527.0,316.0,541.0,,AutoCAD SHX Text,,90
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",306.0,443.0,317.0,457.0,,AutoCAD SHX Text,,93
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",363.0,433.0,374.0,447.0,,AutoCAD SHX Text,,95
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",397.0,433.0,408.0,447.0,,AutoCAD SHX Text,,89
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",220.0,429.0,231.0,441.0,,AutoCAD SHX Text,,71
