exists,note,path,sha256,size_bytes
True,PDF parsing pass-through in current iteration,data/raw/BX-FM_10-30-2025-Model.pdf,b75e7d53fbffdcb5d97cb7bcd726057e6d3080d585ea84e5078fc94072ad58bd,578756
True,PDF parsing pass-through in current iteration,data/raw/BX-FM_10-30-2025-Model2.pdf,c76be6a622f55c908c055ac8b6c1ff33596a4e0952e69569badff915566c4770,7217070
