check_name,severity,entity_type,entity_id,system_id,status,message,source_dataset,source_tab,source_row,processed_row,source_columns_used,raw_upstream_value,raw_downstream_value,raw_link_id,exclusion_candidate,exclusion_reason,recommended_action
inflow_duplicate_source_row,MEDIUM,inflow,source_row_duplicates,,warn,302 duplicate inflow source rows.,inflow,HYDROLOGY,grouped_by_source_tab_and_source_row,,"source_tab,source_row,canonical_swmm_node_id",,,,False,,Confirm duplicate source rows are expected (multi-record inflows) or deduplicate upstream.
inflow_source_row_multi_node,MEDIUM,inflow,source_row_multi_node,,fail,302 source rows map to multiple SWMM nodes.,inflow,HYDROLOGY,grouped_by_source_tab_and_source_row,,"source_tab,source_row,canonical_swmm_node_id",,,,False,,Enforce 1:1 mapping per source row.
inflow_unmapped,MEDIUM,inflow,unmapped,,fail,2 inflow records missing node mapping.,inflow,HYDROLOGY,id_map_inflows_unmapped_rows,,canonical_swmm_node_id,,,,False,,Resolve receiving node mapping.
topology_dead_end_nodes,LOW,junction,dead_end_summary,,warn,83 degree-1 nodes detected.,topology,HYDRAULICS,derived_from_links_graph,,"upstream_node,downstream_node",,,,False,,Review whether degree-1 nodes are expected starts/termini.
