swmm_node_id,excel_node_id,pdf_label,rim_elev,invert_elev,node_type,assigned_inflow_q_cfs,inflow_source,assigned_subcatchment_area_ac,assigned_subcatchment_width_ft,assigned_subcatchment_slope_pct,assigned_subcatchment_pct_imperv,missing_flag,derived_flag,notes
J061,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J062,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J063,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J065,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J068,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J069,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J070,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J071,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J072,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J074,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J075,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J076,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J077,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J078,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J079,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J080,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J081,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J082,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J083,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J084,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J085,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J086,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J087,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J088,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J089,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J090,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J091,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J092,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J093,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
