swmm_conduit_id,excel_pipe_id,upstream_node,downstream_node,diameter_in,shape,length_ft,slope_ftft,invert_in_ft,invert_out_ft,losses,confidence,inferred_flag,notes
C212,,J152,J153,24.0,CIRCULAR,328.0,0.00020514084335669297,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C213,,J151,J153,18.0,CIRCULAR,35.0,0.0018817204615513285,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C214,,J150,J151,18.0,CIRCULAR,132.0,0.0010959290057746562,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C215,,J149,J150,15.0,CIRCULAR,551.0,0.0006902429501124728,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C216,,J147,J149,15.0,CIRCULAR,221.0,0.00026198755305082653,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C217,,J146,J147,15.0,CIRCULAR,210.0,0.00013762391059414245,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C218,,J148,J149,15.0,CIRCULAR,359.0,4.3718396704489595e-05,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C219,,J184,OUT1,48.0,CIRCULAR,572.0,0.000893441967640573,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C220,,J182,J184,48.0,CIRCULAR,344.0,0.0008212870375823414,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C221,,J180,J182,48.0,CIRCULAR,575.0,0.0016253946853046093,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C222,,J178,J180,48.0,CIRCULAR,93.0,0.0009483192147012988,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C223,,J176,J178,42.0,CIRCULAR,1260.0,0.0017971539106296879,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C224,,J173,J176,42.0,CIRCULAR,1310.0,0.001084123738499355,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C225,,J169,J173,24.0,CIRCULAR,1463.0,0.0027762991429412347,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C226,,J168,J169,18.0,CIRCULAR,462.0,0.0021567603501827268,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C227,,J167,J168,18.0,CIRCULAR,883.0,0.001028695553439436,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C228,,J166,J168,18.0,CIRCULAR,249.0,0.00048388694976239557,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C229,,J172,J173,30.0,CIRCULAR,670.0,0.0019493944952280852,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C230,,J171,J172,30.0,CIRCULAR,405.0,0.0009912759075503324,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C231,,J170,J171,24.0,CIRCULAR,450.0,0.002035069476719265,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C232,,J174,J176,30.0,CIRCULAR,490.0,0.0006161501514919146,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C233,,J159,J174,24.0,CIRCULAR,711.0,4.0690559995966473e-05,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C234,,J182,OUT1,36.0,CIRCULAR,490.0,0.0016169743794341477,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C235,,J180,J182,24.0,CIRCULAR,583.0,0.0014120143650428018,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C236,,J165,J180,42.0,CIRCULAR,77.0,0.0004848630234810695,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
C237,,J162,J165,36.0,CIRCULAR,396.0,0.0009369060481638944,,,0/0/0,0.9,0,Row-order mapped from extracted links when available
