source_row,swmm_id,reason
687,IN_5613,user_cutoff_row_684
688,IN_6026,user_cutoff_row_684
689,IN_6072,user_cutoff_row_684
690,IN_6145,user_cutoff_row_684
691,IN_6180,user_cutoff_row_684
692,IN_6128,user_cutoff_row_684
693,IN_6134,user_cutoff_row_684
694,IN_6109,user_cutoff_row_684
695,IN_6190,user_cutoff_row_684
696,IN_6209,user_cutoff_row_684
697,IN_45,user_cutoff_row_684
