source_row_hydraulics,upstream_junction_id,downstream_junction_id,canonical_upstream_junction_id,canonical_downstream_junction_id,upstream_system_id,downstream_system_id,crosses_basin_boundary
11,77,0,J_77,J_0,1.0,,False
14,75,77,J_75,J_77,1.0,1.0,False
17,74,75,J_74,J_75,1.0,1.0,False
20,72,74,J_72,J_74,1.0,1.0,False
22,71.9,72,J_71_9,J_72,1.0,1.0,False
24,71.1,71.9,J_71_1,J_71_9,1.0,1.0,False
26,71,71.1,J_71,J_71_1,1.0,1.0,False
28,69,71,J_69,J_71,1.0,1.0,False
30,65.3,69,J_65_3,J_69,1.0,1.0,False
32,65.1,65.3,J_65_1,J_65_3,1.0,1.0,False
34,65,65.1,J_65,J_65_1,1.0,1.0,False
38,63,65,J_63,J_65,1.0,1.0,False
40,62,63,J_62,J_63,1.0,1.0,False
42,57,62,J_57,J_62,1.0,1.0,False
44,54,57,J_54,J_57,1.0,1.0,False
46,53,54,J_53,J_54,1.0,1.0,False
48,51,53,J_51,J_53,1.0,1.0,False
50,42,51,J_42,J_51,1.0,1.0,False
52,39,42,J_39,J_42,1.0,1.0,False
54,37,39,J_37,J_39,1.0,1.0,False
56,35,37,J_35,J_37,1.0,1.0,False
58,31,35,J_31,J_35,1.0,1.0,False
60,29,31,J_29,J_31,1.0,1.0,False
62,15,29,J_15,J_29,1.0,1.0,False
64,11,15,J_11,J_15,1.0,1.0,False
66,9,11,J_9,J_11,1.0,1.0,False
68,7.1,9,J_7_1,J_9,1.0,1.0,False
70,6.1,7.1,J_6_1,J_7_1,1.0,1.0,False
72,6,6.1,J_6,J_6_1,1.0,1.0,False
74,3,6,J_3,J_6,1.0,1.0,False
77,2,3,J_2,J_3,1.0,1.0,False
80,1,2,J_1,J_2,1.0,1.0,False
83,5,6,J_5,J_6,1.0,1.0,False
86,4,5,J_4,J_5,1.0,1.0,False
91,7,7.1,J_7,J_7_1,1.0,1.0,False
94,8,9,J_8,J_9,1.0,1.0,False
97,13,15,J_13,J_15,1.0,1.0,False
99,12,13,J_12,J_13,1.0,1.0,False
102,14,15,J_14,J_15,1.0,1.0,False
105,26,29,J_26,J_29,1.0,1.0,False
107,25,26,J_25,J_26,1.0,1.0,False
109,23,25,J_23,J_25,1.0,1.0,False
111,21,23,J_21,J_23,1.0,1.0,False
113,20,21,J_20,J_21,1.0,1.0,False
115,18,20,J_18,J_20,1.0,1.0,False
117,16,18,J_16,J_18,1.0,1.0,False
120,17,18,J_17,J_18,1.0,1.0,False
123,19,20,J_19,J_20,1.0,1.0,False
126,22,23,J_22,J_23,1.0,1.0,False
129,24,25,J_24,J_25,1.0,1.0,False
132,28,29,J_28,J_29,1.0,1.0,False
134,27.1,28,J_27_1,J_28,1.0,1.0,False
136,27,27.1,J_27,J_27_1,1.0,1.0,False
140,30,31,J_30,J_31,1.0,1.0,False
143,34,35,J_34,J_35,1.0,1.0,False
147,32,34,J_32,J_34,1.0,1.0,False
150,33,34,J_33,J_34,1.0,1.0,False
153,36,37,J_36,J_37,1.0,1.0,False
156,38,39,J_38,J_39,1.0,1.0,False
159,41,42,J_41,J_42,1.0,1.0,False
161,40,41,J_40,J_41,1.0,1.0,False
164,50,51,J_50,J_51,1.0,1.0,False
167,49,51,J_49,J_51,1.0,1.0,False
169,48,49,J_48,J_49,1.0,1.0,False
171,46,48,J_46,J_48,1.0,1.0,False
173,45,46,J_45,J_46,1.0,1.0,False
175,44,45,J_44,J_45,1.0,1.0,False
178,43,44,J_43,J_44,1.0,1.0,False
181,47,48,J_47,J_48,1.0,1.0,False
184,50,51,J_50,J_51,1.0,1.0,False
187,52,53,J_52,J_53,1.0,1.0,False
190,55,57,J_55,J_57,1.0,1.0,False
193,61,62,J_61,J_62,1.0,1.0,False
197,65.25,65.3,J_65_25,J_65_3,1.0,1.0,False
199,65.2,65.25,J_65_2,J_65_25,1.0,1.0,False
202,68.05,69,J_68_05,J_69,1.0,1.0,False
204,68,68.05,J_68,J_68_05,1.0,1.0,False
207,68.1,69,J_68_1,J_69,1.0,1.0,False
210,70.4,71,J_70_4,J_71,1.0,1.0,False
212,70.3,70.4,J_70_3,J_70_4,1.0,1.0,False
214,70.2,70.3,J_70_2,J_70_3,1.0,1.0,False
216,70,70.2,J_70,J_70_2,1.0,1.0,False
219,70.1,70.2,J_70_1,J_70_2,1.0,1.0,False
222,71.8,71.9,J_71_8,J_71_9,1.0,1.0,False
226,71.7,71.8,J_71_7,J_71_8,1.0,1.0,False
228,71.4,71.7,J_71_4,J_71_7,1.0,1.0,False
233,71.3,71.4,J_71_3,J_71_4,1.0,1.0,False
236,71.2,71.4,J_71_2,J_71_4,1.0,1.0,False
239,71.6,71.7,J_71_6,J_71_7,1.0,1.0,False
242,71.5,71.6,J_71_5,J_71_6,1.0,1.0,False
247,76,77,J_76,J_77,1.0,1.0,False
250,134,0,J_134,J_0,2.0,,False
252,133,134,J_133,J_134,2.0,2.0,False
254,132,133,J_132,J_133,2.0,2.0,False
256,131,132,J_131,J_132,2.0,2.0,False
258,130,131,J_130,J_131,2.0,2.0,False
260,121,130,J_121,J_130,2.0,2.0,False
262,119,121,J_119,J_121,2.0,2.0,False
264,117,119,J_117,J_119,2.0,2.0,False
266,111,117,J_111,J_117,2.0,2.0,False
268,110.3,111,J_110_3,J_111,2.0,2.0,False
270,110.2,110.3,J_110_2,J_110_3,2.0,2.0,False
272,110,110.2,J_110,J_110_2,2.0,2.0,False
274,108.4,110,J_108_4,J_110,2.0,2.0,False
276,107,108.4,J_107,J_108_4,2.0,2.0,False
278,101.1,107,J_101_1,J_107,2.0,2.0,False
286,101,101.1,J_101,J_101_1,2.0,2.0,False
290,104,107,J_104,J_107,2.0,2.0,False
292,103.4,104,J_103_4,J_104,2.0,2.0,False
295,103.3,103.4,J_103_3,J_103_4,2.0,2.0,False
