"""c""",(cfs),(fps),(ft),(ft_ft),(in),0.003042372881355911,0.5082000000000001,1180,20,32.108971468560014,4.5276000000000005,4.980360000000001,424.23,427.7,8,"8_mhd-r_1.1c=0.462_9.8_(t5613,_upper_half)",9.8,area,b_p,base,base_ca,board,col_1,col_10,col_11,col_12,col_14,col_15,col_16,col_17,col_18,col_2,col_23,col_3,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_4,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_5,col_6,col_7,col_8,col_9,delta_fb,description,dia,dist.,dn_strm,egl_elev.,elev,f_s,freebrd,hgl,hgl_elev.,hl,i,inlet,jct,jct_area,keystroke,length,location,loss,losses,macro_or_dialog_box,mca,modules,name,q,r_g,slope,soffit_elev.,source_row,source_sheet,stream_jct,t56013,t_c,t_p,t_t,tc,type,userforms,vel,worksheet_formulas
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Inlets that had elevation and/or length attributes changed.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,312,DI TABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Font,nan,Revised Inlet boundaries and elevations- From Gis Posting Check 9/13/2019 by YP.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,315,DI TABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Co. SPR 7969 Edits,nan,nan,Tract 5613 inlets ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,317,DI TABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Vista Ranch_07-01-2024,nan,nan,Tract 6039 inlets,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,318,DI TABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Tract 6190 Inlets ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,325,DI TABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Tract 6209 inlets ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,326,DI TABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,82.42653040842968,5.182640624007249,0.4170770782237615,0.0017569035175464393,54,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.18975515252339,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,383.7273219257004,392,nan,nan,nan,383.3102448474766,nan,nan,nan,nan,nan,nan,nan,nan,1.040244847476602,0.6256156173356423,nan,nan,nan,nan,nan,nan,nan, ,11,HYDRAULICS,77,nan,nan,nan,nan,nan,OUTFALL,nan,nan,nan
nan,5.1392115706040205,1.635858024765731,0.0415532838073049,0.0005160759621171332,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.909302269567206,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,418.7222510142401,424.09,nan,nan,nan,418.68069773043277,nan,nan,nan,nan,nan,nan,nan,nan,0.2906977304328099,0.022854306094017725,nan,nan,nan,nan,nan,nan,nan,418.39,83,HYDRAULICS,5,nan,nan,nan,nan,nan,INLET JUNCTION,nan,nan,nan
nan,8.763187829066855,2.789402797640328,0.1208193783770759,0.0015005306735200096,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.366212014741279,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,409.4246073636358,414.17,nan,nan,nan,409.30378798525874,nan,nan,nan,nan,nan,nan,nan,nan,0.20580577962088387,0.03624581351312277,nan,nan,nan,nan,nan,nan,nan,406.04,132,HYDRAULICS,28,nan,nan,nan,nan,nan,INLET JUNCTION,nan,nan,nan
nan,8.049237308162962,2.5621458200162217,0.1019346460097297,0.0012659894884960376,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.22365056759736,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,409.89828407841236,414.52,nan,nan,nan,409.7963494324026,nan,nan,nan,nan,nan,nan,nan,nan,0.4736767147765321,0.030580393802918927,nan,nan,nan,nan,nan,nan,nan,405.85,134,HYDRAULICS,27.1,nan,nan,nan,nan,nan,INLET JUNCTION,nan,nan,nan
nan,4.520501714671065,2.5580747048473897,0.1016109657698767,0.001851969551016599,18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.1658144148942142,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,404.93579655087564,408.5,nan,nan,nan,404.8341855851058,nan,nan,nan,nan,nan,nan,nan,nan,0.2286440316897391,0.03048328973096301,nan,nan,nan,nan,nan,nan,nan,403.67,159,HYDRAULICS,41,nan,nan,nan,nan,nan,INLET JUNCTION,nan,nan,nan
nan,11.567475084105949,3.6820330672606154,0.2105181290124319,0.0026145550006830116,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.1674914712702957,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,403.34302665774214,406.8,nan,nan,nan,403.1325085287297,nan,nan,nan,nan,nan,nan,nan,nan,0.16250852872968402,0.06315543870372957,nan,nan,nan,nan,nan,nan,nan,402.97,167,HYDRAULICS,49,nan,nan,nan,nan,nan,INLET JUNCTION,nan,nan,nan
nan,8.948238540989273,2.8483061309489663,0.1259758977577867,0.0015645726807153157,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.900287223101998,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,404.22568867465577,408.5,nan,nan,nan,404.099712776898,nan,nan,nan,nan,nan,nan,nan,nan,0.8826620169136065,0.03779276932733603,nan,nan,nan,nan,nan,nan,nan,400.87,169,HYDRAULICS,48,nan,nan,nan,nan,nan,INLET JUNCTION,nan,nan,nan
nan,4.635935874934689,2.623396924389378,0.1068666370014852,0.0019477598332695632,18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.6205520172360934,nan,nan,nan,nan, ,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan, ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,406.38631461976536,410.4,nan,nan,nan,406.2794479827639,nan,nan,nan,nan,nan,nan,nan,nan,0.12944798276392372,0.032059991100445565,nan,nan,nan,nan,nan,nan,nan,406.15,173,HYDRAULICS,45,nan,nan,nan,nan,nan,INLET JUNCTION,nan,nan,nan
