"""c""",area,b_p,base,base_ca,col_1,col_10,col_11,col_12,col_14,col_15,col_16,col_2,col_3,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_5,col_6,col_7,col_8,col_9,description,dia,dist.,dn_strm,downstream_node,extraction_method,f_s,freebrd,headloss,hgl,hl,i,inlet,jct,jct_area,junction_type,keystroke,length,location,macro_or_dialog_box,mca,modules,name,pipe_id,q,r_g,slope,source_row,source_sheet,t_c,t_p,t_t,tc,upstream_node,userforms,vel,worksheet_formulas
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,26.0,hydraulics_structured_table,nan,nan,0.1460551101344725,nan,nan,nan,nan,nan,nan,SIDE BRANCH JCT,nan,227.0,nan,nan,nan,nan,nan,25-26,10.404275237899109,nan,0.0006434145820901874,107,HYDRAULICS,nan,nan,nan,nan,25.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,25.0,hydraulics_structured_table,nan,nan,0.068845966576822,nan,nan,nan,nan,nan,nan,SIDE BRANCH JCT,nan,114.0,nan,nan,nan,nan,nan,23-25,10.079830011430655,nan,0.0006039119875159827,109,HYDRAULICS,nan,nan,nan,nan,23.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,23.0,hydraulics_structured_table,nan,nan,0.118557512089481,nan,nan,nan,nan,nan,nan,RIGHT ANGLE JCT,nan,251.0,nan,nan,nan,nan,nan,21-23,8.914439888032566,nan,0.0004723406856154623,111,HYDRAULICS,nan,nan,nan,nan,21.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,nan,nan,21.0,hydraulics_structured_table,nan,nan,0.8515666111884623,nan,nan,nan,nan,nan,nan,SIDE BRANCH JCT,nan,658.0,nan,nan,nan,nan,nan,20-21,8.138344078171302,nan,0.0012941741811374808,113,HYDRAULICS,nan,nan,nan,nan,20.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,nan,nan,20.0,hydraulics_structured_table,nan,nan,0.1770167326687068,nan,nan,nan,nan,nan,nan,SIDE BRANCH JCT,nan,230.0,nan,nan,nan,nan,nan,18-20,6.275999839206702,nan,0.0007696379681248123,115,HYDRAULICS,nan,nan,nan,nan,18.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,18.0,hydraulics_structured_table,nan,nan,1.6697025847798384,nan,nan,nan,nan,nan,nan,RIGHT ANGLE,nan,649.0,nan,nan,nan,nan,nan,16-18,5.328033277410185,nan,0.002572731255438888,117,HYDRAULICS,nan,nan,nan,nan,16.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,18.0,hydraulics_structured_table,nan,nan,0.1767953708085486,nan,nan,nan,nan,nan,nan,nan,nan,183.0,nan,nan,nan,nan,nan,17-18,3.2649731722752176,nan,0.0009660949224510852,120,HYDRAULICS,nan,nan,nan,nan,17.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,20.0,hydraulics_structured_table,nan,nan,0.0366749061083719,nan,nan,nan,nan,nan,nan,nan,nan,72.0,nan,nan,nan,nan,nan,19-20,2.370762092521079,nan,0.0005093736959496098,123,HYDRAULICS,nan,nan,nan,nan,19.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,nan,nan,23.0,hydraulics_structured_table,nan,nan,0.0123267556631423,nan,nan,nan,nan,nan,nan,nan,nan,146.0,nan,nan,nan,nan,nan,22-23,2.0786800479202303,nan,8.442983330919392e-05,126,HYDRAULICS,nan,nan,nan,nan,22.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,nan,nan,25.0,hydraulics_structured_table,nan,nan,0.0007450155248111,nan,nan,nan,nan,nan,nan,nan,nan,73.0,nan,nan,nan,nan,nan,24-25,0.7227047563059822,nan,1.0205692120701359e-05,129,HYDRAULICS,nan,nan,nan,nan,24.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,nan,nan,29.0,hydraulics_structured_table,nan,nan,0.169559966107761,nan,nan,nan,nan,nan,nan,INLET JUNCTION,nan,113.0,nan,nan,nan,nan,nan,28-29,8.763187829066855,nan,0.0015005306735200096,132,HYDRAULICS,nan,nan,nan,nan,28.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,nan,nan,28.0,hydraulics_structured_table,nan,nan,0.4430963209736132,nan,nan,nan,nan,nan,nan,INLET JUNCTION,nan,350.0,nan,nan,nan,nan,nan,27.1-28,8.049237308162962,nan,0.0012659894884960376,134,HYDRAULICS,nan,nan,nan,nan,27.1,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,nan,nan,27.1,hydraulics_structured_table,nan,nan,0.0728388294564824,nan,nan,nan,nan,nan,nan,ANGLE POINT,nan,176.0,nan,nan,nan,nan,nan,27-27.1,4.602192990913695,nan,0.0004138569855481956,136,HYDRAULICS,nan,nan,nan,nan,27.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,nan,nan,31.0,hydraulics_structured_table,nan,nan,0.0073968766305567,nan,nan,nan,nan,nan,nan,nan,nan,109.0,nan,nan,nan,nan,nan,30-31,1.8635910682297303,nan,6.786125349134615e-05,140,HYDRAULICS,nan,nan,nan,nan,30.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,35.0,hydraulics_structured_table,nan,nan,0.2254474308130913,nan,nan,nan,nan,nan,nan,SIDE BRANCH JCT,nan,304.0,nan,nan,nan,nan,nan,34-35,2.8605897012280574,nan,0.0007416033908325372,143,HYDRAULICS,nan,nan,nan,nan,34.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,34.0,hydraulics_structured_table,nan,nan,0.0725159216138454,nan,nan,nan,nan,nan,nan,nan,nan,278.0,nan,nan,nan,nan,nan,32-34,1.6965396138219357,nan,0.00026084863889872445,147,HYDRAULICS,nan,nan,nan,nan,32.0,nan,nan,nan
